ID,Titulo,Genero,Lançamento,Duração,Nota,MetaScore,Votos,Faturamento,Sinopse
28,A Vida é Bela,"Comedy, Drama, Romance            ",1997,116,8.6,59,712031,57.60,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
29,Os Sete Samurais,"Action, Drama            ",1954,207,8.6,98,353240,0.27,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
30,A Felicidade Não se Compra,"Drama, Family, Fantasy            ",1946,130,8.6,89,472689,#21,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
31,Harakiri,"Action, Drama, Mystery            ",1962,133,8.6,85,61176,#46,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
32,Parasita,"Drama, Thriller            ",2019,132,8.5,96,857519,53.37,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
33,Os Infiltrados,"Crime, Drama, Thriller            ",2006,151,8.5,85,1358214,132.38,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
34,Whiplash: Em Busca da Perfeição,"Drama, Music            ",2014,106,8.5,89,906920,13.09,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
35,De Volta para o Futuro,"Adventure, Comedy, Sci-Fi            ",1985,116,8.5,87,1240959,210.61,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
36,Alien - O 8º Passageiro,"Horror, Sci-Fi            ",1979,117,8.5,89,904650,78.90,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.
37,O Profissional,"Action, Crime, Drama            ",1994,110,8.5,64,1191102,19.50,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
38,Gladiador,"Action, Adventure, Drama            ",2000,155,8.5,67,1538258,187.71,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
39,O Grande Truque,"Drama, Mystery, Sci-Fi            ",2006,130,8.5,66,1366502,53.09,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
40,Casablanca,"Drama, Romance, War            ",1942,102,8.5,100,584236,01.02,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
